,Symbol,Trade_Date,CBI_SS,CBI_MACD,CBI,Trade_Price,Price_Delta,Avg_Volume,RSI_val,"RSI_slope, intercept",SS_val,"SS_slope, intercept",MSCD_Div_val,"MACD_Div_slope, intercept"
123,DAL,2020-12-30,0.1197176273698501,0.7137192130785617,0.4167184202242059,40.560001373291016,2.2435892914228286,11178550.0,54.1415712486503,[ 0.3100457  50.08572368],27.605647452602998,[ 1.99909444 18.43731321],-0.3953542731939347,[ 0.04337205 -0.55393531]
122,DAL,2020-11-06,0.5995803314091515,0.23948138148213022,0.4195308564456408,31.420000076293945,20.94207481772285,14357350.0,50.52520688159102,[ 1.05594112 44.54210039],41.99160662818303,[ 2.29559755 32.64499322],-0.05843806945127217,[ 0.06262157 -0.24401926]
154,FAST,2020-03-18,0.6916754008350778,0.15687723660223912,0.42427631871865845,33.45000076293945,-3.408069846478111,9216200.0,46.349245841690646,[ 1.58616043 37.7291787 ],43.83350801670156,[ 5.48103896 24.91629631],-0.05402278309355402,[ 0.09270719 -0.34436343]
27,ALK,2020-10-06,0.23003796694007334,0.6214230140151252,0.42573049047759925,36.09000015258789,10.640066878227866,2389866.6666666665,40.93191387666218,[ 0.5958199 43.0626081],25.399240661198533,[ 0.79887903 22.34620807],-0.3073032948488169,[ 0.10396476 -0.49451547]
126,ETN,2020-05-20,0.4239023097529667,0.42837494473284776,0.42613862724290724,77.93000030517578,18.041829210232844,2333450.0,49.651758063450124,[ 0.91284574 42.40422046],38.478046195059335,[ 6.59330723 14.42210897],-0.33822044748372715,[ 0.15485219 -0.78954302]
178,GE,2020-07-02,0.2553356644786355,0.6007856265801031,0.4280606455293693,6.820000171661377,4.692077518617799,95574566.66666667,47.84123534925215,[ 1.07151871 42.30333021],24.89328671042729,[5.59285371 8.12240009],-0.06590440856759437,[ 0.01465498 -0.10969705]
77,CAT,2020-01-21,0.14091087246721373,0.7161306086936927,0.4285207405804532,145.85000610351562,-2.1254754705429533,2922333.3333333335,50.46991407928493,[ 1.43927204 47.90707204],32.818217449344274,[ 1.56684548 22.74187947],-0.26386567118749005,[ 0.0926443  -0.36846026]
87,CAT,2020-10-05,0.745235172500881,0.11429223837128796,0.4297637054360845,153.49000549316406,10.098377383073531,2447983.3333333335,60.81339945172463,[ 0.74145735 50.89385224],44.90470345001762,[ 3.83793912 32.34441121],-0.07991268496528403,[ 0.1041509  -0.69919608]
145,EXPD,2020-03-04,0.4808866408578325,0.38148760379445246,0.4311871223261425,73.12999725341797,-1.4357930559257697,2873900.0,49.499816867371514,[ 0.20730746 38.31241299],39.61773281715665,[ 6.74149913 14.82944161],-0.12583458783260826,[ 0.02001209 -0.32985236]
49,AAL,2020-11-05,0.3805348766764391,0.4853350102828322,0.4329349434796357,11.600000381469727,13.793098061887212,48317683.333333336,44.777400584142065,[ 0.48171782 35.45486536],22.389302466471218,[ 2.19836688 17.64991573],-0.07458824312131684,[ 0.01467498 -0.15368404]
